ngram,COMP,NEG,NEUT,POS
가*/JKS,0,0,0,1
가*/JKS 있/VV,0,0,0,1
가*/JKS 있/VV 었/EP,0,0,0,1
가*/VV,0,0,0,3
가*/VV ㄴ다*/EF,0,0,0,1
가/JKC,0,7,2,8
가/JKC 되/VV,0,3,2,6
가/JKC 되/VV ㄴ/ETM,0,0,2,0
가/JKC 되/VV ㄹ/ETM,0,0,0,1
가/JKC 되/VV 어/EC,0,1,0,1
가/JKC 되/VV 어야지요/EF,0,0,0,1
가/JKC 아니/VCN,0,4,0,2
가/JKC 아니/VCN ㄴ가/EC,0,1,0,0
가/JKC 아니/VCN 면/EC,0,0,0,1
가/JKC 아니/VCN ㅂ니다/EF,0,0,0,1
가/JKS,0,38,3,71
가/JKS 가능/NNG,0,0,0,1
가/JKS 가능/NNG 하/XSA,0,0,0,1
가/JKS 가장/MAG,0,2,0,0
가/JKS 가장/MAG 많이/MAG,0,1,0,0
가/JKS 가장/MAG 어렵/VA,0,1,0,0
가/JKS 굵/VA,0,0,0,1
가/JKS 그/MM,0,0,0,1
가/JKS 그/MM 동안/NNG,0,0,0,1
가/JKS 그리/MAG,0,1,0,0
가/JKS 그리/MAG 밝/VA,0,1,0,0
가/JKS 극대/NNG,0,1,0,0
가/JKS 극대/NNG 화/XSN,0,1,0,0
가/JKS 꺾이/VV,0,1,0,0
가/JKS 꽤/MAG,0,0,0,1
가/JKS 꽤/MAG 맞/VV,0,0,0,1
가/JKS 꿈/NNG,0,0,1,0
가/JKS 꿈/NNG 에/JKB,0,0,1,0
가/JKS 나/NP,0,0,0,1
가/JKS 나/NP 에게/JKB,0,0,0,1
가/JKS 나/VV,0,1,0,0
가/JKS 나오/VV,0,0,0,1
가/JKS 넘/VV,0,0,0,1
가/JKS 넘/VV 습니다/EF,0,0,0,1
가/JKS 높/VA,0,1,0,1
가/JKS 높/VA 아/EC,0,0,0,1
가/JKS 느끼/VV,0,0,0,1
가/JKS 느끼/VV 어/EC,0,0,0,1
가/JKS 늘/VV,0,1,0,1
가/JKS 늘/VV 고/EC,0,1,0,0
가/JKS 다르/VA,0,0,0,1
가/JKS 다르/VA 게/EC,0,0,0,1
가/JKS 단절/NNG,0,1,0,0
가/JKS 더욱/MAG,0,0,0,1
가/JKS 더욱/MAG 막중/XR,0,0,0,1
가/JKS 돋아나/VV,0,1,0,0
가/JKS 둘/NR,0,0,0,1
가/JKS 둘/NR 로/JKB,0,0,0,1
가/JKS 들/VV,0,1,0,0
